Perda,Acurácia,Perda Transfer,Acurácia Transfer
0.007444992195814848,0.9972052574157715,0.06502988189458847,0.9850101470947266
0.010545958764851093,0.9972052574157715,0.011614462360739708,0.9977133870124817
0.021853290498256683,0.9944105744361877,0.06204996258020401,0.9916158318519592
0.005329424515366554,0.9979674816131592,0.018665548413991928,0.9969512224197388
0.062234148383140564,0.9845020174980164,0.06148533523082733,0.9898374080657959
0.00472259009256959,0.9979674816131592,0.03143622353672981,0.9931402206420898
0.020339468494057655,0.994918704032898,0.06294389069080353,0.9916158318519592
0.011534207500517368,0.9964430928230286,0.03714594617486,0.9956808686256409
0.02813621796667576,0.9921239614486694,0.01576623134315014,0.997459352016449
0.009967529214918613,0.9966971278190613,0.019000954926013947,0.9972052574157715
